TOPIC,SUB_TOPIC
product,"really good product, like product much, love mamaearth product, mama earth product, really like product"
good,"really good product, product really good, good face wash, good product love, good product like"
nice,"really nice product, nice product love, nice face wash, nice product recommended, nice product loved"
like,"like product much, really like product, like mamaearth product, good product like, like face wash"
love,"love mamaearth product, good product love, love mama earth, really love product, nice product love"
amazing,"really amazing product, product really amazing, amazing product love, amazing product mamaearth, amazing product really"
skin,"acne prone skin, make skin soft, good oily skin, really good skin, make skin glow"
really,"really good product, really like product, product really good, really nice product, really amazing product"
best,"best face wash, best product ever, one best product, best product mama, best product mamaearth"
hair,"onion hair oil, mamaearth onion hair, control hair fall, make hair soft, reduces hair fall"
mamaearth,"love mamaearth product, like mamaearth product, product thank mamaearth, mamaearth tea tree, mamaearth onion hair"
awesome,"awesome product effective, really awesome product, mamaearth product awesome, product really awesome, awesome product love"
face,"best face wash, good face wash, ubtan face wash, like face wash, tea tree face"
loved,"nice product loved, amazing product loved, product really loved, good product loved, awesome product loved"
wash,"best face wash, good face wash, ubtan face wash, like face wash, foaming face wash"
result,"result must try, product good result, love result must, got good result, give good result"
using,"good product using, using mamaearth product, using face wash, using since month, using mama earth"
natural,"made natural ingredient, give natural glow, good natural product, product made natural, product natural product"
effective,"awesome product effective, good product effective, nice product effective, good effective product, really good effective"
use,"good product use, use face wash, use twice week, use mamaearth product, nice product use"
oil,"onion hair oil, tea tree oil, hair oil good, oil hair growth, best hair oil"
work,"product really work, product work well, work wonder skin, work like magic, really work skin"
super,"super nice product, make skin super, nice product super, super hair oil, make hair super"
great,"really great product, great face wash, great product mamaearth, great product love, product great result"
excellent,"excellent product love, working excellent skin, product excellent result, really excellent product, excellent product result"
baby,"good product baby, baby skin soft, good baby skin, baby massage oil, keep baby skin"
much,"like product much, love product much, thank much mamaearth, liked product much, much mama earth"
one,"one best product, one best facewash, one best face, one must buy, like every one"
cream,"dark circle cream, nice face cream, cream dark circle, face gel cream, gel cream night"
shampoo,"mamaearth onion shampoo, best shampoo ever, shampoo hair fall, like onion shampoo, hair oil shampoo"
acne,"acne prone skin, good acne prone, oily acne prone, face wash acne, also reduces acne"
soft,"make skin soft, make hair soft, baby skin soft, skin feel soft, skin soft smooth"
make,"make skin soft, make hair soft, make skin glow, make hair smooth, make skin smooth"
also,"body lotion also, lotion also nice, also reduces acne, prone skin also, skin also reduces"
serum,"matte lip serum, serum thank mamaearth, best serum ever, correct face serum, illuminate face serum"
smell,"smell good feel, smell really nice, product smell good, nice product smell, smell really good"
mama,"mama earth product, product mama earth, love mama earth, thank mama earth, thanks mama earth"
feel,"skin feel soft, make skin feel, skin feel fresh, smell good feel, feel relaxing using"
used,"product ever used, ive ever used, pimple spot used, spot used face, used face gel"
happy,"good product happy, product im happy, happy using product, im happy product, nice product happy"
must,"product must try, product must buy, must try product, must buy product, good product must"
thank,"thank mama earth, product thank mamaearth, thank much mamaearth, product thank mama, good product thank"
give,"give natural glow, give instant glow, give good result, give best result, give glow skin"
earth,"mama earth product, product mama earth, love mama earth, thank mama earth, thanks mama earth"
smooth,"make hair smooth, make skin smooth, skin soft smooth, made hair smooth, hair smooth silky"
try,"product must try, must try product, result must try, love must try, amazing must try"
mask,"ubtan face mask, onion hair mask, vitamin face mask, argan hair mask, best hair mask"
well,"product work well, work really well, work well skin, really work well, work well hair"
quality,"good quality product, product good quality, product quality good, nice good quality, product nice quality"
fall,"control hair fall, reduces hair fall, hair fall control, hair fall problem, product hair fall"
body,"body lotion good, ubtan body wash, body lotion also, fragrance body lotion, good fragrance body"
onion,"onion hair oil, mamaearth onion hair, mamaearth onion shampoo, onion hair mask, best onion hair"
liked,"really liked product, liked product much, good product liked, really liked brush, used really liked"
buy,"product must buy, must buy product, lovely product buy, product buy mamarearth, one must buy"
fragrance,"fragrance body lotion, lotion good fragrance, good fragrance body, fragrance also good, good mild fragrance"
superb,"superb product highly, superb product evr, really superb product, superb product thnks, superb really good"
vitamin,"vitamin face wash, mamaearth vitamin face, vitamin face mask, vitamin underarm scrub, vitamin body wash"
day,"use every day, result within day, use twice day, really work day, ubtan day cream"
lip,"matte lip serum, naturally matte lip, amazing lip balm, tinted lip balm, best lip balm"
dry,"good dry skin, make skin dry, doesnt dry skin, wash dry skin, dry frizzy hair"
free,"chemical free product, product chemical free, really oil free, free completely absorbed, oil free completely"
glow,"make skin glow, give natural glow, give instant glow, give glow skin, mamaearth aqua glow"
ever,"best product ever, face wash ever, product ever used, ive ever used, best shampoo ever"
oily,"good oily skin, best oily skin, oily acne prone, face wash oily, wash oily skin"
time,"using first time, product first time, stay long time, first time using, last long time"
worth,"product worth money, worth every penny, amazing product worth, product worth buy, good product worth"
recommend,"highly recommend product, product highly recommend, would highly recommend, amazing product recommend, would definitely recommend"
made,"made natural ingredient, product made natural, made hair smooth, made safe certified, made skin soft"
help,"product really help, amazing product help, help reduce acne, help hair growth, help remove tan"
month,"using since month, using last month, using product month, since last month, using past month"
highly,"highly recommend product, product highly recommended, product highly recommend, would highly recommend, nice product highly"
thanks,"thanks mama earth, product thanks mamaearth, skin thanks mamaearth, product thanks mama, happy thanks mamaearth"
ingredient,"made natural ingredient, natural ingredient like, natural ingredient best, natural ingredient make, ingredient like vitamin"
pimple,"acne pimple spot, reduces acne pimple, pimple spot used, product acne pimple, face wash pimple"
recommended,"product recommended product, nice product recommended, product highly recommended, loved highly recommended, highly recommended product"
facewash,"one best facewash, best facewash ever, vitaminc foaming facewash, facewash ever make, tea tree facewash"
ubtan,"ubtan face wash, mamaearth ubtan face, ubtan face mask, ubtan body wash, mamaearth ubtan body"
wonderful,"wonderful product mamaearth, really wonderful product, wonderful product love, wonderful face wash, thank mamaearth wonderful"
wow,"wow nice product, wow amazing product, wow really amazing, wow wowsuper product, wow wow wowsuper"
texture,"improved skin texture, improves skin texture, texture enhance suppleness, skin texture enhance, improve skin texture"
im,"product im happy, im happy product, nice product im, product im using, im love product"
glowing,"make skin glowing, give glowing skin, skin started glowing, product glowing skin, product skin glowing"
lotion,"body lotion good, body lotion also, fragrance body lotion, lotion good fragrance, lotion also nice"
keep,"keep skin hydrated, keep baby skin, keep skin healthy, skin keep skin, keep skin soft"
go,"love product go, face wash go, awesome product go, good product go, go wont regret"
sunscreen,"best sunscreen ever, sunscreen ever used, aloe vera sunscreen, one best sunscreen, light indian sunscreen"
long,"product long lasting, stay long time, last long time, good long lasting, proof long lasting"
perfect,"perfect oily skin, perfect daily use, product perfect hair, perfect face wash, body wash perfect"
dandruff,"hair fall dandruff, dandruff itchy scalp, hair mask dandruff, anti dandruff shampoo, good dandruff free"
useful,"good product useful, product useful hair, nice useful product, useful hair service, amaging product useful"
reduced,"hair fall reduced, reduced hair fall, reduced acne mark, good product reduced, reduced fine line"
get,"helped get rid, get rid acne, get absorbed skin, get absorbed easily, help get rid"
osm,"nd osm product, like nd osm, mamaearths product osm, osm verry good, face wash osm"
clean,"skin soft clean, keep skin clean, softy clean effective, clean effective product, skin softy clean"
light,"product light weighted, love product light, light weighted smell, light weight moisturizer, ultra light gel"
got,"got good result, product got good, good product got, got best result, using product got"
review,"face wash review, hair oil review, face serum review, body lotion review, hair mask review"
tea,"tea tree face, mamaearth tea tree, tea tree oil, tea tree hair, tea tree shampoo"
